[['C', 0, 2, 'D', 0], 'NONE']
[['C', 0, 2, 'D', 1], 'SHOOT']
[['C', 0, 2, 'D', 2], 'RIGHT']
[['C', 0, 2, 'D', 3], 'HIT']
[['C', 0, 2, 'D', 4], 'HIT']
[['C', 0, 2, 'R', 0], 'NONE']
[['C', 0, 2, 'R', 1], 'SHOOT']
[['C', 0, 2, 'R', 2], 'HIT']
[['C', 0, 2, 'R', 3], 'HIT']
[['C', 0, 2, 'R', 4], 'HIT']
[['C', 0, 3, 'D', 0], 'NONE']
[['C', 0, 3, 'D', 1], 'SHOOT']
[['C', 0, 3, 'D', 2], 'RIGHT']
[['C', 0, 3, 'D', 3], 'RIGHT']
[['C', 0, 3, 'D', 4], 'HIT']
[['C', 0, 3, 'R', 0], 'NONE']
[['C', 0, 3, 'R', 1], 'SHOOT']
[['C', 0, 3, 'R', 2], 'LEFT']
[['C', 0, 3, 'R', 3], 'HIT']
[['C', 0, 3, 'R', 4], 'HIT']
[['C', 1, 0, 'D', 0], 'NONE']
[['C', 1, 0, 'D', 1], 'HIT']
[['C', 1, 0, 'D', 2], 'HIT']
[['C', 1, 0, 'D', 3], 'HIT']
[['C', 1, 0, 'D', 4], 'HIT']
[['C', 1, 0, 'R', 0], 'NONE']
[['C', 1, 0, 'R', 1], 'HIT']
[['C', 1, 0, 'R', 2], 'HIT']
[['C', 1, 0, 'R', 3], 'HIT']
[['C', 1, 0, 'R', 4], 'HIT']
[['C', 1, 1, 'D', 0], 'NONE']
[['C', 1, 1, 'D', 1], 'SHOOT']
[['C', 1, 1, 'D', 2], 'HIT']
[['C', 1, 1, 'D', 3], 'HIT']
[['C', 1, 1, 'D', 4], 'HIT']
[['C', 1, 1, 'R', 0], 'NONE']
[['C', 1, 1, 'R', 1], 'SHOOT']
[['C', 1, 1, 'R', 2], 'HIT']
[['C', 1, 1, 'R', 3], 'HIT']
[['C', 1, 1, 'R', 4], 'HIT']
[['C', 1, 2, 'D', 0], 'NONE']
[['C', 1, 2, 'D', 1], 'SHOOT']
[['C', 1, 2, 'D', 2], 'RIGHT']
[['C', 1, 2, 'D', 3], 'HIT']
[['C', 1, 2, 'D', 4], 'HIT']
[['C', 1, 2, 'R', 0], 'NONE']
[['C', 1, 2, 'R', 1], 'SHOOT']
[['C', 1, 2, 'R', 2], 'HIT']
[['C', 1, 2, 'R', 3], 'HIT']
[['C', 1, 2, 'R', 4], 'HIT']
[['C', 1, 3, 'D', 0], 'NONE']
[['C', 1, 3, 'D', 1], 'SHOOT']
[['C', 1, 3, 'D', 2], 'RIGHT']
[['C', 1, 3, 'D', 3], 'RIGHT']
[['C', 1, 3, 'D', 4], 'HIT']
[['C', 1, 3, 'R', 0], 'NONE']
[['C', 1, 3, 'R', 1], 'SHOOT']
[['C', 1, 3, 'R', 2], 'HIT']
[['C', 1, 3, 'R', 3], 'HIT']
[['C', 1, 3, 'R', 4], 'HIT']
[['C', 2, 0, 'D', 0], 'NONE']
[['C', 2, 0, 'D', 1], 'HIT']
[['C', 2, 0, 'D', 2], 'HIT']
[['C', 2, 0, 'D', 3], 'HIT']
[['C', 2, 0, 'D', 4], 'HIT']
[['C', 2, 0, 'R', 0], 'NONE']
